
Trace>> [     87817][20210819 16:37:44:411][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     87955][20210819 16:37:44:549][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88105][20210819 16:37:44:699][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88242][20210819 16:37:44:836][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88381][20210819 16:37:44:975][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88518][20210819 16:37:45:112][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88698][20210819 16:37:45:293][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88837][20210819 16:37:45:431][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     88977][20210819 16:37:45:571][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89117][20210819 16:37:45:711][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89255][20210819 16:37:45:849][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89393][20210819 16:37:45:987][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89533][20210819 16:37:46:128][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89670][20210819 16:37:46:264][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89809][20210819 16:37:46:403][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     89970][20210819 16:37:46:564][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90108][20210819 16:37:46:703][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90246][20210819 16:37:46:840][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90385][20210819 16:37:46:980][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90544][20210819 16:37:47:138][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90683][20210819 16:37:47:277][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90823][20210819 16:37:47:417][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     90959][20210819 16:37:47:554][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     91097][20210819 16:37:47:691][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
