[20210819173243] /wm/app/bin/TspService down, restart it !
[20210819173531] /wm/app/bin/TspService down, restart it !
[20210819173755] /wm/app/bin/TspService down, restart it !
[20210819174019] /wm/app/bin/TspService down, restart it !
[20210819174306] /wm/app/bin/TspService down, restart it !
[20210819174553] /wm/app/bin/TspService down, restart it !
[20210820104611] /wm/app/bin/TspService down, restart it !
[20210820104834] /wm/app/bin/TspService down, restart it !
[20210820105122] /wm/app/bin/TspService down, restart it !
[20210820105349] /wm/app/bin/TspService down, restart it !
[20210820105617] /wm/app/bin/TspService down, restart it !
[20210820105845] /wm/app/bin/TspService down, restart it !
[20210820110113] /wm/app/bin/TspService down, restart it !
[20210820110339] /wm/app/bin/TspService down, restart it !
[20210820110607] /wm/app/bin/TspService down, restart it !
[20210820110859] /wm/app/bin/TspService down, restart it !
[20210820111129] /wm/app/bin/TspService down, restart it !
[20210820111358] /wm/app/bin/TspService down, restart it !
[20210820111627] /wm/app/bin/TspService down, restart it !
[20210820111855] /wm/app/bin/TspService down, restart it !
[20210820112123] /wm/app/bin/TspService down, restart it !
[20210820112350] /wm/app/bin/TspService down, restart it !
[20210820112620] /wm/app/bin/TspService down, restart it !
[20210820112915] /wm/app/bin/TspService down, restart it !
[20210820113207] /wm/app/bin/TspService down, restart it !
[20210820113436] /wm/app/bin/TspService down, restart it !
[20210820113705] /wm/app/bin/TspService down, restart it !
[20210820113959] /wm/app/bin/TspService down, restart it !
[20210820114228] /wm/app/bin/TspService down, restart it !
[20210820114456] /wm/app/bin/TspService down, restart it !
[20210820114723] /wm/app/bin/TspService down, restart it !
[20210820114949] /wm/app/bin/TspService down, restart it !
[20210820115213] /wm/app/bin/TspService down, restart it !
[20210820115437] /wm/app/bin/TspService down, restart it !
[20210820115700] /wm/app/bin/TspService down, restart it !
[20210820115924] /wm/app/bin/TspService down, restart it !
[20210820120147] /wm/app/bin/TspService down, restart it !
[20210820120435] /wm/app/bin/TspService down, restart it !
[20210820120659] /wm/app/bin/TspService down, restart it !
[20210820120947] /wm/app/bin/TspService down, restart it !
